Date,Departure_delay
1/1/2008,163.28
2/1/2008,153.25
3/1/2008,178.42
4/1/2008,178.68
5/1/2008,188.88
6/1/2008,189.16
7/1/2008,195.09
8/1/2008,196.67
9/1/2008,178.07
10/1/2008,182.27
11/1/2008,171.23
12/1/2008,168.29
1/1/2009,157.88
2/1/2009,153.34
3/1/2009,179.06
4/1/2009,179.52
5/1/2009,191.91
6/1/2009,193.45
7/1/2009,198.37
8/1/2009,204.05
9/1/2009,183.58
10/1/2009,188.43
11/1/2009,169.68
12/1/2009,172.77
1/1/2010,167.89
2/1/2010,160.43
3/1/2010,184.03
4/1/2010,186.32
5/1/2010,196.99
6/1/2010,197.49
7/1/2010,206.88
8/1/2010,205.02
9/1/2010,191.16
10/1/2010,195.1
11/1/2010,177.62
12/1/2010,181.25
1/1/2011,171.66
2/1/2011,162.82
3/1/2011,187.84
4/1/2011,188.71
5/1/2011,205.95
6/1/2011,199.39
7/1/2011,209.81
8/1/2011,209.6
9/1/2011,193.74
10/1/2011,197.76
11/1/2011,182.3
12/1/2011,186.8
1/1/2012,169.31
2/1/2012,166.45
3/1/2012,196.19
4/1/2012,195.41
5/1/2012,206.6
6/1/2012,207.28
7/1/2012,214.78
8/1/2012,215.05
9/1/2012,200.51
10/1/2012,202.86
11/1/2012,190.07
12/1/2012,193.09
1/1/2013,183.62
2/1/2013,172.52
3/1/2013,202.41
4/1/2013,199.53
5/1/2013,213.56
6/1/2013,212.28
7/1/2013,217.72
8/1/2013,219.87
9/1/2013,204.32
10/1/2013,206.99
11/1/2013,195.41
12/1/2013,194.59
1/1/2014,183.74
2/1/2014,176.82
3/1/2014,204.47
4/1/2014,205.56
5/1/2014,219
6/1/2014,215.87
7/1/2014,225.44
8/1/2014,229.39
9/1/2014,207.91
10/1/2014,215.97
11/1/2014,199.94
12/1/2014,201.75
1/1/2015,190.13
2/1/2015,183.95
3/1/2015,211.95
4/1/2015,211.29
5/1/2015,226.08
6/1/2015,222.25
7/1/2015,236.71
8/1/2015,233.5
9/1/2015,213.55
10/1/2015,221.22
11/1/2015,202.42
12/1/2015,207.32
1/1/2016,196.87
2/1/2016,187.17
3/1/2016,214.22
4/1/2016,217.92
5/1/2016,227.9
6/1/2016,228.73
7/1/2016,239.94
8/1/2016,237.14
9/1/2016,219.46
10/1/2016,228.52
11/1/2016,211.18
12/1/2016,216.3
1/1/2017,194.44
2/1/2017,192.33
3/1/2017,221.74
4/1/2017,221.98
5/1/2017,231.81
6/1/2017,237.02
7/1/2017,244.2
8/1/2017,242.57
9/1/2017,225.3
10/1/2017,234.66
11/1/2017,222.83
12/1/2017,222.46
1/1/2018,203.58
2/1/2018,199.64
3/1/2018,232.63
4/1/2018,227.81
5/1/2018,242.11
6/1/2018,243.01
7/1/2018,245.08
8/1/2018,247.77
9/1/2018,227.33
10/1/2018,236.55
11/1/2018,222.8
12/1/2018,218.44
1/1/2019,209.26
2/1/2019,199.91
3/1/2019,231.49
4/1/2019,231.37
5/1/2019,244.25
6/1/2019,242.58
7/1/2019,248.79
8/1/2019,251.69
9/1/2019,224.57
10/1/2019,240
11/1/2019,229.48
12/1/2019,228.09
